Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
U_BQ24295	U_BQ24295		BQ24295	Standard	Standard	QFN-24	25		RGE24-2700X2700TP	I2C Controlled 3A Single Cell USB/Adapter Charger with Boost							Texas Instruments	BQ24295RGET	MOUSER	595-BQ24295RGET						
U_BQ25895MRTW	U_BQ25895		BQ25895	Standard	Standard	QFN-24	25		RGE24-2700X2700TP	I2C Controlled Single Cell 5-A Fast Charger							Texas Instruments	BQ25895MRTWR	Digi-Key	296-42447-1-ND	Texas Instruments	BQ25895MRTWT	Digi-Key	296-42470-1-ND		
U_BQ294700	BQ294700		BQ294700	Standard	Standard	WSON-8	8		DSG8-1600X900TP	Lithium ion protection IC							Texas Instruments	BQ294700	Digi-Key	296-34984-1-ND						
U_CC2640F128RGZT	U_CC26xxF128RGZT		CC2640 QFN48 7x7	Standard	Standard	QFN-48	48		SM_QFN-48_7x7	Bluetooth SoC				3.8V			Texas Instruments	CC2640F128RGZT	Digi-Key	296-39655-6-ND						
U_CC2640F128RSMR	U_CC26xxF128RSMR		CC2640 QFN32 4x4	Standard	Standard	QFN-32	32		SM_QFN-32_4x4	Bluetooth SoC				3.8V			Texas Instruments	CC2640F128RSMR	Digi-Key	296-41116-1-ND						
U_CY7C65632-48AXC	U_CY7C65632-48		CY7C65632-48AXC	Standard	Standard	48-TQFP	48		48-TQFP-EP	4-port USB 2.0 Hub Controller							Cypress Semiconductor	CY7C65632-48AXC	Digi-Key	CY7C65632-48AXC-ND						
U_CY7C65634-48AXC	U_CY7C65634-48		CY7C65634-48AXC	Standard	Standard	48-TQFP	48		48-TQFP-EP	2-port USB 2.0 Hub Controller							Cypress Semiconductor	CY7C65634-48AXC	Digi-Key	CY7C65634-48AXC-ND						
U_CY8C27243-24PVI	U_CY8C27243-24PVI		CY8C27243-24PVI	Standard	Standard	SSOP-20	20		CYP-PVX20_N	"I.C., Microcontroller"							Cypress Semiconductor	CY8C27243-24PVXI	Digi-Key	428-1594-ND						
U_DCDC_5A_SIP_OKX-T/5-D12N	U_DCDC_DOSA_SIP		OKX-T/5-D12N	Standard	Standard	5-SIP	5		DCDC_DOSA_SIP	DC-DC CONVRT 0.7525-5.5V 5A 5SIP				0.7525-5.5V	5A	25W	Murata	OKX-T/5-D12N-C	Digi-Key	811-2622-ND						
U_DCDC_5A_SMT_OKY-T/5-D12N	U_DCDC_DOSA_SMT		OKY-T/5-D12N	Standard	Standard	5-SMD Module	5		SM_DCDC_DOSA_SMT	DC-DC CONVRT 0.75-5.5V 5A 5-SMD				0.75-5.5V	5A	25W	Murata	OKY-T/5-D12N-C	Digi-Key	811-1992-1-ND						
U_DCDC_ISO_3Vto5V_1W_SMT	U_DCDC_ISO_5Pin		ISO DCDC 3V/5V 1W	Standard	Standard	5-SMD Module	5		SM_DCDC_ISO_1W	DC-DC CONV ISO 3V/5V 1W				3V/5V	0.2A	1W	Murata	MTE1S0305MC	Digi-Key	811-2829-5-ND	Recom	R1SE-3.305/H2-R	Digi-Key	945-2271-1-ND		
