Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
Q_NFET_BSC098N10NS5ATMA1	Q_NFET_8PIN		BSC098N10NS5ATMA1	Standard	Standard	8-PowerTDFN	8		SM_8-PowerTDFN	MOSFET N-CH 100V 60A 8TDSON				100V	60A	2.5W (Ta), 69W (Tc	Infineon Technologies	BSC098N10NS5ATMA1	Digi-Key	BSC098N10NS5ATMA1CT-ND	Infineon Technologies	BSC070N10NS5ATMA1	Digi-Key	BSC070N10NS5ATMA1CT-ND		
Q_NFET_BSS138_SOT23	Q_NFET_SMALL		BSS138	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	"Mosfet, N Channel, Logic Level"				50V	220mA	350mW	Fairchild	BSS138	Digi-Key	BSS138CT-ND	Diodes Inc.	BSS138-7-F	Digi-Key	BSS138-FDICT-ND	Flex_SOT-23-3_GATE_SOURCE_DRAIN	
Q_NFET_BSZ160N10NS3 G	Q_NFET_8PIN		BSZ160N10NS3	Standard	Standard	SON-8	8		8-DFN-33x33	N-Channel OptiMOS 3 Power-Transistor				100V			Infineon	BSZ160N10NS3 G	Digi-Key	BSZ160N10NS3 GINCT-ND					Flex_SON8_3.3x3.3_DQG8	
Q_NFET_CSD17308Q3	Q_NFET_8PIN		CSD17308Q3	Standard	Standard	SON-8	8		8-DFN-33x33	"Mosfet, N Channel"							Texas Instruments	CSD17308Q3	Digi-Key	296-27210-1-ND					Flex_SON8_3.3x3.3_DQG8	
Q_NFET_CSD88539ND 	Q_NFET_DUAL_8PIN		CSD88539ND 	Standard	Standard	8-SOIC	8		SM_SOIC-8-4mm-N	MOSFET 2N-CH 60V 15A 8SOIC 				60V	15A	2.1W	Texas Instruments	CSD88539ND 	Digi-Key	296-37304-1-ND						
Q_NFET_DMN3404L	Q_NFET_3pin		DMN3404L-7	Standard	Standard	SOT23	3		SM_SOT23_GATE_SOURCE_DRAIN	MOSFET N-CH 30V 5.8A SOT-23				30V	5.8A	720mW	Diodes Inc.	DMN3404L-7 	Digi-Key	DMN3404LDICT-ND						
Q_NFET_DMN4008LFG	Q_NFET_8PIN		DMN4008LFG-7	Standard	Standard	POWERDI3333-8	8		POWERDI3333-8	MOSFET N-CH 40V 14.4A PWDI3333-8 				40V	14.4A	1W	Diodes Inc.	DMN4008LFG-7 	Digi-Key	DMN4008LFG-7DICT-ND						
Q_NFET_DMN5L06K	Q_NFET_SMALL		DMN5L06K	Standard	Standard	SOT23-3	3		SM_SOT23_GATE_SOURCE_DRAIN	"Mosfet, N Channel, Small Signal"							Diodes Inc.	DMN5L06K	Digi-Key	DMN5L06KDICT-ND						
Q_NFET_DMN63D8LW	Q_NFET_3pin_a		DMN63D8LW	Standard	Standard	SOT-323	3		SM_SOT-323	MOSFET N-CH 30V 0.38A SOT323 				30V	380mA	300mW	Diodes Inc.	DMN63D8LW-13 	Digi-Key	DMN63D8LW-13DITR-ND 						
Q_NFET_DMS3014SFG	Q_NFET_8PIN		DMS3014SFG	Standard	Standard	WDFN-8	8		SM_WDFN-8	MOSFET N-CH 30V 9.5A POWERDI				30V	9.5A	1W	Diodes Inc.	DMS3014SFG-7	Digi-Key	DMS3014SFG-7DICT-ND						
Q_NFET_DMN3032LFDBQ-7	Q_NFET_DUAL_6PIN_EP		DMN3032LFDBQ	Standard	Standard	6WDFN-EP	6		SM_6-WDFN-EP-D1D2	MOSFET 2N-CH 30V 6.2A U-DFN2020				30V	6.2A	1W	Diodes Inc.	DMN3032LFDBQ-7	Digi-Key	DMN3032LFDBQ-7DICT-ND						
Q_NFET_DMT10H010LPS-13	Q_NFET_8PIN		DMT10H010LPS-13	Standard	Standard	8-PowerTDFN	8		SM_8-PowerTDFN	MOSFET N-CH 100V 9.4A 				100V	9.4A	1.2W	Diodes Inc.	DMT10H010LPS-13	Digi-Key	DMT10H010LPS-13DICT-ND 						
Q_NFET_DMT6004LPS-13	Q_NFET_8PIN		DMT6004LPS-13	Standard	Standard	8-PowerTDFN	8		SM_8-PowerTDFN	MOSFET N-CHA 60V 22A POWERDI			3.1 mOhm	60V	22A	105W	Diodes Inc.	DMT6004LPS-13	Digi-Key	DMT6004LPS-13DICT-ND						
Q_NFET_DMTH6016LPS	Q_NFET_8PIN		DMTH6016LPS	Standard	Standard	8-PowerTDFN	8		SM_8-PowerTDFN	MOSFET N-CHA 60V 10.6A POWERDI 				60V	37.1A	37.5W	Diodes Inc.	DMTH6016LPS-13 	Digi-Key	DMTH6016LPS-13DICT-ND						
Q_NFET_Dual_AO4826	Q_NFET_DUAL_8PIN		AO4826	Standard	Standard	8-SOIC	8		8-SOIC-4mm-N	"Mosfet, Dual N Channel"				60	6.3A		Alpha & Omega	AO4826	Digi-Key	785-1061-2-ND	Diodes Inc.	DMN6040SSD-13	Digi-Key	DMN6040SSD-13DICT-ND	Flex_SON8_3.3x3.3_DQG8	
