Part Number	Library Ref	Library Path	Comment	Component Kind	Component Type	PACKAGE	Pin Count	Footprint Path	Footprint Ref	Description	Material	Tolerance	Value	VOLTAGE	CURRENT	WATTAGE	Manufacturer 1	Manufacturer Part Number 1	Supplier 1	Supplier Part Number 1	Manufacturer 2	Manufacturer Part Number 2	Supplier 2	Supplier Part Number 2	Footprint Ref 2	Footprint Path 2
D_SHKY_20A_100V_TO277	D_SHKY		FSV20100V	Standard	Standard	TO277	3		SM_DIODE_TO277	Diode Schottky 100V 20A Surface Mount TO-277-3				100V	20A		ON Semiconductor	FSV20100V	Digi-Key	FSV20100VCT-ND						
D_SHKY_BAT54_SOD323	D_SHKY		BAT54	Standard	Standard	SOD-323	2		SM_SOD-323-REVD	"Diode, Schottky"				30V	200mA		Micro Commercial	BAT54WS-TP	Digi-Key	BAT54WS-TPCT-ND	Diodes Inc.	BAT54WS-7-F	Digi-Key	BAT54WS-FDICT-ND	Flex_D_SOD323	
D_SHKY_PAIR_COMC_100V_7A_DPAK	D_SHKY_PAIR_COMC		VS-6CWQ10FNPBF	Standard	Standard	DPAK	3		SM_DIODE_DPAK	"Diode, Schottky"				100V	7A		Vishay Semiconductor	VS-6CWQ10FNPBF	Digi-Key	VS-6CWQ10FNPBF-ND						
D_SHKY_PAIR_COMC_30V_6A_DPAK	D_SHKY_PAIR_COMC		MBRD630CTG	Standard	Standard	DPAK	3		SM_DIODE_DPAK	"Diode, Dual Schottkey"				30V	6A		On Semiconductor	MBRD630CTT4G	Digi-Key	MBRD630CTT4GOSCT-ND						
D_SHKY_PAIR_Series_BAT54S	D_DualDiodes_Series		BAT54S	Standard	Standard	SOT-23-3	3		SM_SOT23_123	"Diode, Dual Array"				30V	200mA		Fairchild Semiconductor	BAT54S	Digi-Key	BAT54SFSTR-ND						
D_SHKY_PAIR_Series_MMBD7000HS	D_DualDiodes_Series		MMBD7000HS	Standard	Standard	SOT-23-3	3		SM_SOT23_123	"Diode, Dual Array"				100V	300mA		Diodes Inc.	MMBD7000HS-7-F	Digi-Key	MMBD7000HS-7FDITR-ND						
D_SHKY_PAIR_PARALLEL_BAS70-07E6327	D_SHKY_PAIR_PARALLEL		BAS 70-07	Standard	Standard	SOT143-4	4		SM_SOT143-4	DIODE ARRAY SCHOTTKY 70V SOT143				70V	70mA		Infineon Technologies	BAS 70-07 E6327	Digi-Key	BAS7007E6327HTSA1CT-ND						
D_TVS_BIDIR_12V_SOD323	D_TVS_BIDIR		12V TVS BiDir	Standard	Standard	SOD-323	2		SM_SOD-323-REVD_SYM	TVS DIODE				12V		200W	NXP Semiconductors	"PESD12VL1BA,115"	Digi-Key	568-4022-2-ND	Micro Commercial	ESDLC12VD3B-TP	Digi-Key	ESDLC12VD3B-TPMSCT-ND	Flex_D_SOD323_SYM	
D_TVS_BIDIR_15V_SOD323	D_TVS_BIDIR		"PESD15VL1BA,115"	Standard	Standard	SOD-323	2		SM_SOD-323-REVD_SYM	TVS DIODE				15V		200W	NXP Semiconductors	"PESD15VL1BA,115"	Digi-Key	568-4027-1-ND	Bournes	CDSOD323-T15C	Digi-Key	CDSOD323-T15CCT-ND	Flex_D_SOD323_SYM	
D_TVS_BIDIR_26.5V_SOD323	D_TVS_BIDIR		VLIN2626-02GHE3-08	Standard	Standard	SOD-323	2		SM_SOD-323-REVE_SYM	TVS DIODE				26.5V		200W	Vishay Semiconductor Diodes Division	VLIN2626-02GHE3-08	Digi-Key	VLIN2626-02GHE3-08GICT-ND	Vishay Semiconductor Diodes Division	VLIN2626-02G-E3-08	Digi-Key	VLIN2626-02G-E3-08GICT-ND		
D_TVS_BIDIR_30V_SOD123	D_TVS_BIDIR		TV02W300B-G	Standard	Standard	SOD-123	2		SM_DIODE_BIDIR_SOD-123	TVS DIODE 30VWM 48.4VC SOD123			30V	30V		200W	Comchip Technology	TV02W300B-G 	Digi-Key	SMAJ33A-FDICT-ND						
D_TVS_BIDIR_30V_SMAJ30CA-13-F	D_TVS_BIDIR		SMAJ30CA-13-F	Standard	Standard	SMA	2		SM_DIODE_BIDIR_SMA	TVS DIODE 30V 48.4V SMA				30V		400W	Diodes Inc.	SMAJ30CA-13-F	Digi-Key	SMAJ30CA-FDICT-ND						
